title,lyrics
A Hard Day's Night,"It's been a hard day's night, and I've been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright

You know I work all day to get you 
money
 to buy you things
And it's 
worth
 it just to hear you say you're 
going
 to give me everything
So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight, yeah

It's been a hard day's night, and I've been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright, oww

So why on 
earth
 should I moan, 'cause when I get you alone
You know I feel ok

When I'm home 
everything
 seems to be right
When I'm home 
feeling
 you 
holding
 me tight, tight, yeah

Oh, it's been a hard day's night, and I've been 
working
 like a dog
It's been a hard day's night, I 
should
 be 
sleeping
 like a log
But when I get home to you I'll find the 
things
 that you do
Will make me feel alright
You know I feel alright
You know I feel alright"
Help!,"(Help) I need somebody
(Help) not just anybody
(Help) you know I need someone
(Help)

(When) when I was 
younger
 (when I was young) so much 
younger
 than today
(I 
never
 needed) I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

(Now) and now my life has 
changed
 (my life has changed) in oh-so-many ways (my independence)
My 
independence
 seems to 
vanish
 in the haze
(But) but 
every
 now and then (now and then) I feel so 
insecure
 (I know that I)
I know that I just need you like I 
never
 done before

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me?

When I was younger, so much 
younger
 than today
I 
never
 needed anybody's help in any way
(Now) but now 
these
 days are gone (these days are gone) I'm not so self-assured (and now I find)
Now I find, I've 
changed
 my mind, I've 
opened
 up the doors

Help me if you can, I'm 
feeling
 down
And I do 
appreciate
 you 
being
 'round
Help me get my feet back on the ground
Won't you please, 
please
 help me, help me, help me, ooh?"
All My Loving,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving, I will send to you
All my loving, darling I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving, I will send to you
All my loving, darling I'll be true
All my loving, all my loving
Woo, all my loving, I will send to you"
She Loves You,"She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah

You 
think
 you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's 
thinking
 of
And she told me what to say-yi-yay

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

She said you hurt her so
She 
almost
 lost her mind
And now she says she knows
You're not the 
hurting
 kind

She says she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad

You know it's up to you
I 
think
 it's only fair
Pride can hurt you too
Apologize to her

Because she 
loves
 you
and you know that can't be bad
Yes, she 
loves
 you
and you know you 
should
 be glad

Oo, she 
loves
 you, yeah, yeah, yeah
She 
loves
 you, yeah, yeah, yeah
With a love like that
You know you 
should
 be glad
With a love like that
you know you 
should
 be glad
With a love like that
you know you 
should
 be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
Long Tall Sally,"Gonna tell Aunt Mary 'bout Uncle John,
He says he has the blues but he havin'a lotta fun
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight a lotta fun.

Well Long, Tall Sally
She's built for speed, she got
Everything that Uncle John needs
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight.

Well, I saw Uncle John with long tall Sally.
He saw Aunt Mary comin' and he ducked back in the alley.
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight.

Well, Long, Tall Sally
She's built for speed, she got
Everything that Uncle John needs
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight.

Well, I saw Uncle John with long tall Sally.
He saw Aunt Mary comin' and he ducked back in the alley.
Oh baby,
Ye-e-e-eh baby,
Woo-o-o-oh baby,
Havin' me some fun tonight, yeah.

We gonna have some fun tonight,
We gonna have some fun tonight, woo-o-oh,
Have some fun tonight,
Everything all right,
Have some fun, have me some fun tonight."
You Can't Do That [*],"I got 
something
 to say that 
might
 cause you pain,
If I 
catch
 you 
talking
 to that boy again,

I'm 
gonna
 let you down,
And 
leave
 you flat,
Because I told you before, oh,
You can't do that.

Well, it's the 
second
 time, I've 
caught
 you 
talking
 to him,
Do I have to tell you one more time, I 
think
 it's a sin,
I 
think
 I'll let you down.
Let you down and 
leave
 you flat,
Gonna let you down and 
leave
 you flat,
Because I've told you before, oh,
You can't do that.

Ev'rybody's green,
'cause I'm the one, who won your love,
But if it's seen,
You're 
talking
 that way they'd 
laugh
 in my face.
So 
please
 listen to me, if you want to stay mine,
I can't help my feelings, I'll go out of my mind.

I know I'll let you down,
And 
leave
 you flat,
Gonna let you down and 
leave
 you flat,
Because I've told you before, oh,
You can't do that."
I Want to Hold Your Hand [*],"Oh yeah I tell you somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand"
Everybody's Trying to Be My Baby [*],"Well they took some 
honey
 from a tree
Dressed it up and they 
called
 it me

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Well half past nine, half past four
Fifty 
women
 knocking on my door

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had 
nineteen
 dates

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, now

Went out last night, I didn't stay late
'Fore I got home I had 
nineteen
 dates

Well they took some 
honey
 from a tree
Dressed it up and they 
called
 it me

Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby
Everybody's 
trying
 to be my baby, no"
Baby's in Black [*],"Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

She thinks of him
And so she dresses in black
And though he'll never come back
She's dressed in black

Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

I think of her
But she only thinks of him
And though it's only a whim
She thinks of him

Oh how long will it take
Till she sees the mistake she has made?
Dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

Oh how long it will take
Till she sees the mistake she has made?
Dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?

She thinks of him
And so she dresses in black
And though he'll never come back
She's dressed in black

Oh dear, what can I do?
Baby's in black and I'm feeling blue
Tell me, oh what can I do?"
She Loves You,"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah

You think you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's thinking of
And she told me what to say-yi-yay

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

She said you hurt her so
She almost lost her mind
And now she says she knows
You're not the hurting kind

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
you know you should be glad
With a love like that
you know you should be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
Love Me Do,"Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

Someone to love
Somebody new
Someone to love
Someone like you

Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do
Yeah, love me do
Whoa, oh, love me do"
Hallelujah I Love Her So,"Let me tell you 'bout a girl I know
She is my baby and she lives next door
Every mornin' 'fore the sun comes up
She brings me coffee in my favorite cup
That's why I know, yes, I know
Hallelujah, I just love her so

When I'm in trouble and I have no friend
I know she'll go with me until the end
Everybody asks me how I know
I smile at them and say, ""She told me so""
That's why I know, oh, I know
Hallelujah, I just love her so

Now, if I call her on the telephone
And tell her that I'm all alone
By the time I count from one to four
I hear her - on my door

In the evening when the sun goes down
When there is nobody else around
She kisses me and she holds me tight
And tells me, ""Daddy, everything's all right""
That's why I know, yes, I know
Hallelujah, I just love her so

Now, if I call her on the telephone
And tell her that I'm all alone
By the time I count from one to four
I hear her - on my door

In the evening when the sun goes down
When there is nobody else around
She kisses me and she holds me tight
And tells me, ""Daddy, everything's all right""
That's why I know, yes, I know
Hallelujah, I just love her so
Oh, hallelujah
Don't you know, I just love her so?
She's my little woman, waitin' all this time
Babe, I'm a little fool for you, little girl"
She Loves You,"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah

You think you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's thinking of
And she told me what to say-yi-yay

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

She said you hurt her so
She almost lost her mind
And now she says she knows
You're not the hurting kind

She says she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
and you know that can't be bad
Yes, she loves you
and you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
you know you should be glad
With a love like that
you know you should be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah"
